Company,Active Brand (Y/N),Headquarters,Employees,Founded,Last Acquired,Lead Executive,Owner/Major Investor,Parent Company,Parent Stock Ticker,Parent Public Exposure,Primary Sector,Primary Sub-sector,Secondary Sector,Secondary Sub-sector,Immigration Detention Involvement,Supports Prison Labor,Harm Score,Divestment (Y/N),Annual Revenues (Mn) - original,Annual Revenues (Mn),Revenue Fiscal Year," Prison Industry Revenue Only
(Y/N)",Political Spending (Cumalative Since 2010),Notes,description,Thumbnails,Website,Corrections,Immigration Detention,Prison Labor,Financials,Other ,Tags
Hexagon (dba Hexagon Safety Infrastructure),Y,Sweden,17000,2015,,Ola Rollén,,,HEXA.B-SE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,"Arrest, Court, & Probation Data Systems",Data & Information Systems,Corrections Data Systems,,,10,,$389.2,$389.20,2019,,,Operates using Hexagon Safety and Infrastructure (formerly Intergraph Security) division; Financials converted from EUR,,,https://hexagon.com/,http://www.hexagonsafetyinfrastructure.com/public-safety-and-security/police-and-law-enforcement#records-management,,,FactSet,http://www.hexagonsafetyinfrastructure.com/news-releases/hexagon-safety-infrastructure-and-black-creek-partner-to-offer-jail-management-system,
HF Enterprises,Y,MS,,1998,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,,California Spending Data - 2018,,,,,
Hi Tech Systems,Y,UK,,1998,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,,,,,,,,,,,,,https://hitechsys.com/,http://www.ijis.org/?page=Member_List,,,,,
Hibbs Funeral Home & Cremation Care,Y,OK,,2004,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,,,,,,,,,,,,,,,,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310003704-T.pdf,,,,,
Hibrett Puratex,Y,NJ,,1960,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,,,http://www.hibrettpuratex.com/,http://www.state.nj.us/treasury/purchase/noa/contracts/t2841_13-x-2236.shtml,,,,,
Hickory Brands,Y,NC,110,1923,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,checked,,,$27.0,$27.00,2018,,,,,,https://hickorybrands.com/,https://www.nationalcia.org/corporate-members,,https://www.nationalcia.org/corporate-members,PrivCo (www.privco.com),,
Hidden Valley Industries,Y,WI,,1980,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,,,,,,,,,,,,,,,http://www.hiddenvalleyindustries.com/,http://www.hiddenvalleyindustries.com/about-hvi.html,,,,,
HIG Capital,Y,FL,,,,"Tony Tamer, Sami Mnaymneh",,,,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,,,,,13,checked,,,,,,,,,https://higcapital.com/,"See TKC Holdings, Wellpath",,,,,
High Performing Systems,Y,GA,,1984,,,,,,Tier 4 - Small Privately-Owned,Personnel,Staff Training,,,,,,,,,,,,,,,http://www.hpsys.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310004051-T.pdf,,,,,
Highcom Security,Y,OH,,1997,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,,,,https://highcomsecurity.com/,See website,,,,,
Highland Beefalo Farms,Y,VA,,1978,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,,,,,,,,,,,,,,,http://highlandbeeffarms.com/,http://www.txsmartbuy.com/contracts/view/1874,,,,,
Highland Wholesale Foods,Y,CA,60,1999,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,,,,,,,$51.0,$51.00,2018,,,,,,http://www.highlandwholesalefoods.com/,https://www.floorplangenie.com/Events/fpg_ACFSA/ACFSA2017/Public/fpg.aspx,,,PrivCo (www.privco.com),,
Highline Systems,Y,Canada,,1974,,,,,,Tier 4 - Small Privately-Owned,Personnel,Staff Management Systems,,,,,,,,,,,,,,,https://www.highlinecorp.com,https://www.highlinecorp.com/our-industries/,,,,,
Hightowers Petroleum,Y,OH,46,1985,,,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Utility/Energy,,,,,,,$434.3,$434.30,2018,,,,,,http://www.hightowerspetroleum.com/,OH DRC Spending,,,PrivCo (www.privco.com),,
Hill Chemical,Y,FL,,2001,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,,,http://www.hillchemical.com/,https://facts.fldfs.com/Search/ContractSearch.aspx,,,,,
Hill Country Electric Supply,Y,TX,230,1998,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,$165.0,$165.00,2018,,,,,,http://hces.net/,TDCJ Spending,,,PrivCo (www.privco.com),,
Hill International,Y,PA,2664,1976,,Raouf S. Ghali,,,HIL,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Construction,Construction & Maintenance,Architecture & Engineerging,,,13,checked,"$47,007.0","$47,007.00",2019,,,,,,https://www.hillintl.com/,https://www.constructiondive.com/news/nyc-awards-aecom-hill-jv-contract-to-manage-87b-rikers-replacement/556115/,,,,,
Hinson Oil,Y,FL,,1967,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,,,https://www.hinsonoil.com/,http://www.dc.state.fl.us/business/contracts/,,,,,
HKS Speedloaders,Y,,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,,,,http://www.hksspeedloaders.com/,See website,,,,,
"Hlavinka Equipment, The",Y,TX,,1939,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://www.hlavinka.com/,TDCJ Spending,,,,,
HMB,Y,OH,251,1994,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Technology,,,,,,,$55.0,$55.00,2018,,,,,,http://www.hmbnet.com/,http://doc.ok.gov/closed-bids,,,PrivCo (www.privco.com),,
HMB Transportation,Y,NY,,,,,,,,Tier 4 - Small Privately-Owned,Transportation,Visitor Transportation,,,,,,,,,,checked,,,,,,https://www.facebook.com/HMBTRANSPORTATION2017/,,,,,
HME Ahrens-Fox,Y,MI,,1910,,,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Transportation,Agency Transportation,Equipment,Security Equipment,,,,,,,,,,,,,https://www.firetrucks.com/,California Spending Data - 2018,,,,,
HMN Architects,Y,KS,25,1989,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,,,,,,,$5.6,$5.60,2018,,,,,,https://hmnarchitects.com/,https://hmnarchitects.com/markets/justice/,,,PrivCo (www.privco.com),,
Hobart,Y,OH,,1897,1995,,,Illinois Tool Works,ITW,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,7,,,,,,,Acquired by ITW in 1995,,,https://www.hobartcorp.com/,https://www.hobartcorp.com/industries-hobart,,,,https://www.nytimes.com/1995/05/20/business/company-news-illinois-tool-agrees-to-acquire-hobart-brothers.html,
Hobbs Bonded Fibers,Y,TX,170,1953,2015,Larry Hobbs,Taglich Private Equity,,,Tier 2 - Investment Firm-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,checked,7,,$53.0,$53.00,2017,,,Acquired by Taglich Private Equity in 2015,,,http://www.hobbsbondedfibers.com/,TDCJ Spending,,See corrections source,PrivCo (www.privco.com),http://www.wacotrib.com/news/business/hobbs-bonded-fibers-bought-by-new-york-company/article_48ee49d6-2238-5c7f-b508-ea4a848ddee0.html,
Hochtief,Y,Germany,64313,1875,,Marcelino Fernandez Verdes,,,HOT-DE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Construction,Construction & Maintenance,Maintenance Services,,,13,checked,"$28,048.0","$28,048.00",2019,,,Financials converted from EUR,,,https://www.hochtief.com,See Turner Construction,,,FactSet,http://www.hochtief.com/hochtief_en/956.jhtml,
Hoffman Engineering,Y,CT,70,1955,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,,,,,,,$18.0,$18.00,2018,,,,,,http://www.hoffmanengineering.com/,https://www.ncjrs.gov/pdffiles1/nij/grants/192735.pdf,,,PrivCo (www.privco.com),,
Hogue,Y,NV,,1968,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,,,,https://www.hoguenc.com/,See website,,,,,
HOK,Y,MO,1732,1955,,,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Architecture & Engineerging,,,,,,,$454.6,$454.60,2018,,,,,,http://www.hok.com/,http://www.hok.com/design/type/justice/,,,PrivCo (www.privco.com),,
Holly Sales & Service,Y,OK,,1950,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://hollyss.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310004089-T.pdf,,,,,
Holman Automotive Group,Y,NJ,2700,1924,,Brian R. Bates,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Transportation,Agency Transportation,,,,,,,"$3,100.0","$3,100.00",2018,,,,,,http://www.holmanauto.com,See Automotive Rental Inc (ARI),,,PrivCo (www.privco.com),,
Homag,Y,Germany,6371,1960,,Pekka Paasivaara,,,HG1-DE,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Construction & Maintenance,Maintenance Services,,,7,,$26.2,$26.20,2018,,,Financials converted from EUR,,,https://www.homag.com/en/,See Stiles Machinery,,,FactSet,,
Home Builders Institute,Y,DC,,,,,,,,Tier 4 - Small Privately-Owned,Programs & Labor,Vocation/Industries (Prison Labor),,,,checked,,,,,,,,,,,http://hbicareers.silkroad.com/,FL DOC Spending,,See corrections source,,,
Home Depot,Y,GA,413000,1978,,Craig Menear,,,HD,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Construction & Maintenance,Maintenance Services,,,8,,"$110,225.0","$110,225.00",2020,,,,,,https://www.homedepot.com/,See Interline Brands,,,FactSet,https://careers.homedepot.com/interline/,
HomeWAV,Y,MO,,2011,,,,,,Tier 4 - Small Privately-Owned,Telecom,Prison Communications,,,,,,,,,,checked,,,,,https://www.homewav.com/,See website,,,,,
Honeywell,Y,NJ,131000,1885,,Darius Adamczk,,,HON,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,,,,,12,checked,"$36,709.0","$36,709.00",2019,,,"Operates under dozens of industry-specific subsidiaries, including Honeywell Industrial Safety",,,https://www.honeywell.com/,NYS DOCCS Spending,,,FactSet,,
Hope's Windows,Y,NY,250,1912,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://www.hopeswindows.com/hopes.shtml,http://www.hopeswindows.com/products/prodhome_det.shtml,,,,,
Hoppe's,Y,KS,,1903,2013,,,Vista Outdoor,VSTO,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Equipment,,,,,12,checked,,,,,,Acquired by ATK before Vista spinoff as part of Bushnell Outdoor Products in 2013 for $985 M,,,http://www.hoppes.com/,See website,,,,https://www.prnewswire.com/news-releases/atk-completes-acquisition-of-bushnell-group-holdings-inc-230481221.html,
Horace Small (dba VF Workwear),Y,TN,,1937,1999,,,VF Corp/VF Imagewear,VFC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,9,,,,,checked,,Acquired by VF Corp in 1999,,,http://www.horacesmall.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,,,,http://www.horacesmall.com/ncia,
Horizon Communities in Prison,Y,FL,,1999,,,,,,Tier 4 - Small Privately-Owned,Community Corrections,Residential Programs,,,,,,,,,,checked,,,,,https://www.horizoncommunities.org/,See website,,,,,
Horizon Sales of Minnesota,Y,MN,,1999,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,,,,,,,,,,,,,,,http://horizonsalesinc.com/,http://www.acfsa.org/marketplace/marketplaceSearch.php?mCritQ=2,,,,,
Hornady,Y,NE,500,1949,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,,,,http://www.hornady.com/,See website,,,PrivCo (www.privco.com),,
Hornady Ammunition (formerly Frontier Ammunition),N,NE,,1964,,,,Hornady,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,Created as specialty subsidiary,,,https://www.hornady.com/ammunition/,See website,,,,https://www.hornady.com/corporate/company-history/,
Hornady Reloading Tools (formerly Pacific Reloading Tools),N,CA,,1920,1971,,,Hornady,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,Acquired by Hornady in 1971 and rebranded in 1983,,,https://www.hornady.com/reloading/,See website,,,,https://www.hornady.com/corporate/company-history/,
Horton Automatics,Y,PA,40,1960,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://www.hortondoors.com/Pages/Welcome.aspx,https://www.ncjrs.gov/pdffiles1/nij/grants/192735.pdf,,,,,
Hoshizaki,Y,Japan,,1947,,Yasuhiro Kobayashi,,,6465-JP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,7,,"$2,697.3","$2,697.30",2019,,,Financials converted from JPY,,,http://hoshizakiamerica.com/,See Jackson WWS,,,FactSet,https://www.jacksonwws.com/2013/01/28/hoshizaki-usa-holdings-inc-acquires-jackson-msc-inc/,
Hotchkis & Wiley,Y,CA,61,1980,,,,,,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,Investor,"Construction, Equipment, & Acquisition Financing",,,12,checked,,,,,,,,,https://www.hwcm.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf ,,,,,
Houghton Mifflin Harcourt,Y,MA,4500,1880,,John J. Lynch Jr.,,,HMHC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Programs & Labor,"Education Services, Materials, & Technology",,,,,6,,"$1,390.7","$1,390.70",2019,,,,,,http://www.hmhco.com/,http://www.hmhco.com/classroom/shop-by-subject/adult-education/corrections-education,,,FactSet,https://forms.hmhco.com/virtual-catalog/publication/e9a6dc6a#7,
House Arrest Services,Y,MI,70,1995,,,,,,Tier 4 - Small Privately-Owned,Community Corrections,Electronic Monitoring,,,,,,,$5.0,$5.00,2018,checked,,,,,https://housearrest.com/,See website,,,PrivCo (www.privco.com),,
Houston Communications,Y,TX,,1978,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://www.houstoncommunications.com/,http://www.tjjd.texas.gov/procurement/home/index?path=/Austin%20Office%20Puchase%20Orders,,,,,
Houston County Ready Mix,Y,TX,,,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,,,,TDCJ Spending,,,,,
Howard Fertilizer,Y,FL,240,1932,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,$190.0,$190.00,2018,,,,,,http://www.howardfertilizer.com/,http://www.dc.state.fl.us/business/contracts/,,,PrivCo (www.privco.com),,
Howard Industries,Y,MS,3750,1968,,,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,checked,,,$880.0,$880.00,2018,,,,,,https://www.howardindustries.com/,https://www.nationalcia.org/corporate-members,,See corrections source,PrivCo (www.privco.com),,
Howard Shockey & Sons,Y,VA,135,1896,,,,"Shockey Companies, The",,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Construction,,,,,,,$190.0,$190.00,2018,,,Created as specialty subsidiary,,,http://shockeybuilds.com/,http://shockeybuilds.com/sector/criminal-justice/,,,PrivCo (www.privco.com),,
Howard Technology Solutions,Y,MS,,1968,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,https://www.howardcomputers.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310003901-T.pdf,,,,,
HR Anew,Y,DC,,,,,,,,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",,,checked,,,,,,,,,,,,http://hranew.com/,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,,,
HSBC,Y,United Kingdom,235000,1850,,Noel Quinn,,,HSBC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",,,,,9,,"$55,409.0","$55,409.00",2019,,,,,,https://www.us.hsbc.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,,,FactSet,,
HSM Solutions,Y,NC,,1944,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,checked,,,,,,,,,,,https://www.hsmsolutions.com/,https://www.nationalcia.org/corporate-members,,See corrections source,,,
Huang's Inc,Y,VA,,2002,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,,,http://www.huangsinc.com/,http://www.huangsinc.com/facilities-maintenance.html,,,,,
Hubco,Y,KS,,1919,,,,,,Tier 4 - Small Privately-Owned,Programs & Labor,Vocation/Industries (Prison Labor),,,,checked,,,$6.9,$6.90,2018,,,,,,https://hubcoinc.com/,https://435bd23a-f4be-41cf-aa06-68751a4fd6ce.usrfiles.com/ugd/435bd2_32bc2006882b43af919b81b575a9de79.pdf,,https://www.nationalcia.org/statistical-reports,PrivCo (www.privco.com),,
HubKing Bus,Y,NY,,2016,,,,,,Tier 4 - Small Privately-Owned,Transportation,Visitor Transportation,,,,,,,,,,checked,,,,,https://www.hubkingbus.com/,See website,,,,,
Hubstream,Y,WA,,2013,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,Other,,,checked,,,,,,,checked,,,,,https://www.hubstreamsoftware.com/,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,,,
Hudson Fasteners,Y,OH,,1946,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://hudsonfasteners.com/,http://correctionsmarketplace.com/Listing/Index/BuildingFacility_Maintenance/Screws__Hardware_Products/981/127,,,,,
Hudson Infectious Diseases,Y,NY,,1987,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,,,,,,,,,,,,,,,http://hudsonidassoc.com/,NYS DOCCS Spending,,,,,
Huff & Mitchell,Y,TX,,2002,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,,,,,,,,,,,,,,,http://www.huffmitchell.net/,http://www.tdcj.texas.gov/divisions/finance/finance_contracts_contracts_current.html,,,,,
Huitt Zollars,Y,TX,515,1975,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,,,,,,,$79.0,$79.00,2018,,,,,,http://www.huitt-zollars.com/,http://www.tdcj.texas.gov/divisions/finance/finance_contracts_contracts_current.html,,,PrivCo (www.privco.com),,
Human Kinetics,Y,IL,220,,,,,,,Tier 4 - Small Privately-Owned,Programs & Labor,Rehab Programming,,,,,,,,,,,,,,,http://www.humankinetics.com/home,http://ajaproductserviceresource.com/,,,PrivCo (www.privco.com),,
Humane Restraint,Y,WI,,1876,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,,,,https://www.humanerestraint.com/,See website,,,,,
Hunt Companies,Y,NY,6000,1947,,,,,,Tier 4 - Small Privately-Owned,Investor,"Construction, Equipment, & Acquisition Financing",,,,,,,,,,,,,,,http://www.huntcompanies.com/,See CGL,,,PrivCo (www.privco.com),http://www.huntcompanies.com/what-we-do/asset-services,
Hunt Engineering Services,Y,WA,,1998,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,,,http://hunteng.com/,OH DRC Spending,,,,,
Hunter Research,Y,NJ,,1986,,,,,,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",,,,,,,,,,,,,,,http://www.hunterresearch.com/,http://www.ijis.org/?page=Member_List,,,,,
Hunters Services,Y,CA,,,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,,,https://hunterspestcontrol.com/,California Spending Data - 2018,,,,,
Hunton Distribution,Y,TX,,1981,,,,"Hunton Group, The",,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Construction & Maintenance,Maintenance Services,,,,,,,,,,Created as specialty subsidiary,,,http://www.huntondistribution.com/,TDCJ Spending,,,,,
"Hunton Group, The",Y,TX,,1981,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,http://www.huntongroup.com,See Hunton Distribution,,,,,
Huntsville Aviation,Y,TX,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,,TDCJ Spending,,,,,
Husky and Associates,Y,IL,,,,,,,,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",Personnel,Staff Training,,,,,,,,checked,,,,,http://home.huskey-associates.com/,See website,,,,,
HVAC Associates,Y,NY,,,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,,,https://www.linkedin.com/company/hvac-associates-llc/,NYS DOCCS Spending,,,,http://www.dimarco-associates.com/,
HWI Gear,Y,CO,,2003,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,,,,http://hwigear.com/,See website,,,,,
Hydradyne Hydraulics,Y,TX,550,1968,,,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Construction,Programs & Labor,Vocation/Industries (Prison Labor),,checked,,,$247.0,$247.00,2018,,,,,,https://www.hydradynellc.com/,http://www.tdcj.texas.gov/divisions/finance/finance_contracts_contracts_current.html,,See corrections source,PrivCo (www.privco.com),,
Hydro Dyne,Y,OH,40,1967,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,$90.0,$90.00,2018,,,,,,https://www.hydrodyneinc.com/,OH DRC Spending,,,PrivCo (www.privco.com),,
Hyland Software,Y,OH,2500,1991,2007,William A. Priemer,Thoma Bravo,,,Tier 2 - Investment Firm-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,,,7,,$550.0,$550.00,2017,,,Acquired by Thoma Bravo in 2007 for $265 M,,,https://www.hyland.com/,FL DOC Spending,,,PrivCo (www.privco.com),,
HySecurity,Y,WA,80,,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,https://www.hysecurity.com/,https://www.ncjrs.gov/pdffiles1/nij/grants/192735.pdf,,,,,
I2 Security Solutions,Y,PA,,1981,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,"Arrest, Court, & Probation Data Systems",Data & Information Systems,Corrections Data Systems,,,,,,,,,,,,,http://www.i2securitysolutions.com/,http://i2securitygroup.com/solutions/personal-security/,,,,,
IAP Government Services Group,Y,OH,44,,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,$46.0,$46.00,2018,,,,,,http://iap-gsg.com/,OH DRC Spending,,,PrivCo (www.privco.com),,
Iberdrola,Y,Spain,34078,1840,,Ignacio Galán,,,IBE-ES,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,,,,,6,,"$39,533.3","$39,533.30",2019,,,Financials converted from EUR,,,https://www.iberdrola.com/,"See Avangrid, New York State Electric and Gas (NYSEG)",,,FactSet,https://pitchbook.com/profiles/company/25328-35,
Iberon,Y,TX,,2007,,Jeremy Mattern,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,,,,,,,,,,,,,http://www.iberon.com/,http://www.iberon.com/mobile-detective.html,,,,,
IBM,Y,NY,380300,1911,,Arvind Krishna,,,IBM,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Construction & Maintenance,Maintenance Services,checked,,8,,"$77,147.0","$77,147.00",2019,,,,,,https://www.ibm.com/us-en/,NYS DOCCS Spending,https://abcnews.go.com/ABC_Univision/Politics/15-companies-profit-border-security/story?id=18957304,,FactSet,http://www.ijis.org/?page=Member_List,
ICare Gifts,Y,PA,,2006,,,,Aramark,ARMK,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Care Packages,,,,,12,checked,,,,checked,,Product brand,,,https://icaregifts.com/,See website,,,,https://www.wsj.com/articles/SB10001424052748703441404575206153521909136,
Icarus Aerospace,Y,PA,,,,Joshua Brown,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,Security Equipment,Personnel,Staff Training,,,,,,,,,,,,,http://www.icarusuas.com/,https://www.policeone.com/police-products/Police-Drones/articles/461863006-Spotlight-Icarus-Aerospace-is-a-service-disabled-veteran-owned-business-bringing-UAS-solutions-to-LE/,,,,,
I-Con Systems,Y,FL,,1994,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,,,http://www.i-con.com/,See website,,,,,
ICS Jail Supplies,Y,TX,45,1988,,Michelle Markum,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Commissary,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,$25.0,$25.00,2018,checked,,,,,http://icswaco.com/toiletries.aspx,See website,,,PrivCo (www.privco.com),,
ID Networks,Y,OH,,1984,,Douglas Blenman,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,Corrections Data Systems,Equipment,Security Technology,,,,,,,,checked,,,,,http://www.idnetworks.com/,See website,,,,,
IDEMIA (formerly OT-Morpho),Y,France,14000,2017,,Yann Delabrière,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,Security Technology,Data & Information Systems,Immigration Data Systems,checked,,,,"$3,690.0","$3,690.00",2017,,,Merger of Safran Identity & Security (Morpho) and Oberthur Technologies in 2017; Renamed from OT-Morpho to IDEMIA; Financials converted from EUR,,,https://www.idemia.com/,See MorphoTrust USA,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,,https://www.idemia.com/our-journey,https://www.idemia.com/press-release/ot-morpho-becomes-idemia-global-leader-trusted-identities-2017-09-28,
